"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief Commercial Officer","800002","Grade 7","48500","60078","Team Leader","18.164864864864864","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief Commercial Officer","800002","Grade 6","59500","71000","Team Leader","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief Digital & Information Officer","600182","AO","21493","25433","Admin Support Officer","9.51388888888889","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief Digital & Information Officer","600182","EO","24300","33929","Executive Officer","56.556756756756755","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief Digital & Information Officer","600182","HEO","28000","38595","Policy Adviser","89.5114114114114","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief Digital & Information Officer","600182","SEO","38300","46000","Policy Adviser","64.8108108108108","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief Digital & Information Officer","600182","Grade 7","48500","60078","Team Leader","57.74255255255256","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief Digital & Information Officer","600182","Grade 6","59500","71000","Team Leader","28.88888888888889","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief Digital & Information Officer","600182","SCS1","71000","117800","Senior Policy Adviser","10","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief International Science Envoy","800004","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief International Science Envoy","800004","Grade 7","48500","60078","Team Leader","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief International Science Envoy","800004","Grade 6","59500","71000","Team Leader","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief International Science Envoy","800004","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief People Officer","600128","AO","21493","25433","Admin Support Officer","19.922222222222224","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief People Officer","600128","EO","24300","33929","Executive Officer","35.31944444444444","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief People Officer","600128","HEO","28000","38595","Policy Adviser","81.74962462462462","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief People Officer","600128","SEO","38300","46000","Policy Adviser","32.55555555555556","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief People Officer","600128","Grade 7","48500","60078","Team Leader","82.4358108108108","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief People Officer","600128","Grade 6","59500","71000","Team Leader","47.06666666666666","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Chief People Officer","600128","SCS1","71000","117800","Senior Policy Adviser","17.487387387387386","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Climate & Environment","600033","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Climate & Environment","600033","EO","24300","33929","Executive Officer","8.41081081081081","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Climate & Environment","600033","HEO","28000","38595","Policy Adviser","26.07852852852853","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Climate & Environment","600033","SEO","38300","46000","Policy Adviser","6.5675675675675675","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Climate & Environment","600033","Grade 7","48500","60078","Team Leader","38.12552552552553","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Climate & Environment","600033","Grade 6","59500","71000","Team Leader","19.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Climate & Environment","600033","SCS1","71000","117800","Senior Policy Adviser","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Communications & Engagement","600111","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Communications & Engagement","600111","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Communications & Engagement","600111","HEO","28000","38595","Policy Adviser","20.35867867867868","Policy Profession","Unknown"
